Resource or Program Name,Record Type,Category,Provider Type,Town,ZIP Code,Address,Ages or Population Served,Contact Name,Phone or Contact,Website,License or Registry ID,Infant/Toddler Funded Spaces FY26,Preschool Funded Spaces FY26,School-Age Funded Spaces FY26,Total Funded Spaces FY26,Local Governance Partner,Local Partner Contact,Availability or Cost Notes,Source,Verified or Accessed,Verification Notes
Waterbury Boe At Jonathan Reed School,Provider,Early Start CT funded child care,Public School,Waterbury,06704,"33 Griggs St, Waterbury, CT, 06704",Preschool,Maureen Bergin,(203) 574-8024,,EXEMPT; Registry 6380,0,28,0,28,Waterbury Bridge to Success Partnership,Krista Pisano | krista.pisano@waterbury.k12.ct.us | 203-573-6684,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Waterbury Boe At Sprague School,Provider,Early Start CT funded child care,Public School,Waterbury,06704,"1443 Thomason Ave, Waterbury, CT, 06704",Preschool,Maureen Bergin,(203) 574-8024,,EXEMPT; Registry 6381,0,36,0,36,Waterbury Bridge to Success Partnership,Krista Pisano | krista.pisano@waterbury.k12.ct.us | 203-573-6684,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Waterbury Boe At Washington School,Provider,Early Start CT funded child care,Public School,Waterbury,06706,"685 Baldwin St, Waterbury, CT, 06706",Preschool,Maureen Bergin,(203) 574-8024,,EXEMPT; Registry 8176,0,28,0,28,Waterbury Bridge to Success Partnership,Krista Pisano | krista.pisano@waterbury.k12.ct.us | 203-573-6684,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Yolanda Amancio Family Child Care Home,Provider,Early Start CT funded child care,Family Home,Waterbury,06704,"82 GRIGGS ST, Waterbury, CT, 06704",Infant/Toddler; Preschool; School age,Yolanda Amancio,(407) 405-5248,,DCFH.52593; Registry 4836,2,3,3,8,Waterbury Bridge to Success Partnership,Krista Pisano | krista.pisano@waterbury.k12.ct.us | 203-573-6684,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Carelot Children's Center Waterford,Provider,Early Start CT funded child care,Child Care Center,Waterford,06385,"203 Boston Post Rd, Waterford, CT, 06385",Infant/Toddler; Preschool,Susan Purcell,(860) 425-6566,,DCCC.15148; Registry 1240,7,4,0,11,New London LGP,Kelly Davis | kdavis@learn.k12.ct.us | 860-434-4800 ext. 1128,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Creating Connections Early Learning Center,Provider,Early Start CT funded child care,Child Care Center,Waterford,06385,"24 Rope Ferry Rd, Waterford, CT, 06385",Infant/Toddler,TBD,N/A,,DCCC.70842; Registry 13188,10,0,0,10,New London LGP,Kelly Davis | kdavis@learn.k12.ct.us | 860-434-4800 ext. 1128,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Kangaroo's Korner Day Care,Provider,Early Start CT funded child care,Child Care Center,Watertown,06795,"120 French Mountain Rd, Watertown, CT, 06795",Infant/Toddler; Preschool,Lisa Osterberg,(860) 945-6628,,DCCC.15184; Registry 1618,10,7,0,17,Thomaston/Plymouth LGP,Michelle Anderson | andersonm@edadvance.org | 860-567-0863 ext 1177,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Knight Hall School & Child Care Center,Provider,Early Start CT funded child care,Child Care Center,West Hartford,06119,"411 Park Rd, West Hartford, CT, 06119",Preschool,Martha Wylie,(860) 232-9015,,DCCC.13731; Registry 2547,0,4,0,4,West Hartford LGP,Amy Yarbrough | earlystartwh@gmail.com | TBD,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Monica Vergara Family Child Care Home (Angels Daycare),Provider,Early Start CT funded child care,Family Home,West Hartford,06110,"24 Florence Street, West Hartford, CT, 06110",Infant/Toddler,Arunan Arulampalam,(860) 757-9595,,DCFH.56900; Registry 8025,5,0,0,5,West Hartford LGP,Amy Yarbrough | earlystartwh@gmail.com | TBD,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Patricia J. Rodriguez Family Child Care Home (Angels Place LLC),Provider,Early Start CT funded child care,Family Home,West Hartford,06110,"115 St. Augustine Street, West Hartford, CT, 06110",Infant/Toddler,Arunan Arulampalam,(860) 757-9595,,DCFH.57338; Registry 8968,5,0,0,5,West Hartford LGP,Amy Yarbrough | earlystartwh@gmail.com | TBD,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
The School For Young Children At The University of Saint Joseph,Provider,Early Start CT funded child care,Child Care Center,West Hartford,06117,"238 Steele Rd, West Hartford, CT, 06117",Preschool,Susan O'Donnell,(860) 231-5560,,DCCC.15428; Registry 454,0,4,0,4,West Hartford LGP,Amy Yarbrough | earlystartwh@gmail.com | TBD,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
West Hartford Boe At Charter Oak Academy,Provider,Early Start CT funded child care,Public School,West Hartford,06117,"425 Oakwood Ave, West Hartford, CT, 06117",Preschool,Irene Garneau,(860) 929-5552,,EXEMPT; Registry 1769,0,16,0,16,West Hartford LGP,Amy Yarbrough | earlystartwh@gmail.com | TBD,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
West Hartford Boe At Smith Preschool,Provider,Early Start CT funded child care,Public School,West Hartford,06119,"64 Saint James Street, West Hartford, CT, 06119",Preschool,Irene Garneau,(860) 929-5552,,EXEMPT; Registry 1768,0,6,0,6,West Hartford LGP,Amy Yarbrough | earlystartwh@gmail.com | TBD,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
West Hartford Boe At Webster Hill School,Provider,Early Start CT funded child care,Public School,West Hartford,06107,"125 Webster Hill Blvd, West Hartford, CT, 06107",Preschool,Irene Garneau,(860) 929-5552,,EXEMPT; Registry 1861,0,7,0,7,West Hartford LGP,Amy Yarbrough | earlystartwh@gmail.com | TBD,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Yanette Bambaren Family Child Care Home (Lici’s Daycare),Provider,Early Start CT funded child care,Family Home,West Hartford,06110,"11 Meriline Avenue, West Hartford, CT, 06110",Infant/Toddler,Arunan Arulampalam,(860) 757-9595,,DCFH.56947; Registry 8132,5,0,0,5,West Hartford LGP,Amy Yarbrough | earlystartwh@gmail.com | TBD,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Yessy Frias-Martinez Family Child Care Home (Little Builder’s Child Care Home),Provider,Early Start CT funded child care,Family Home,West Hartford,06119,"189 S. Highland Street, West Hartford, CT, 06119",Infant/Toddler,Arunan Arulampalam,(860) 757-9595,,DCFH.57004; Registry 8265,4,0,0,4,West Hartford LGP,Amy Yarbrough | earlystartwh@gmail.com | TBD,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
YWCA Elmwood Early Learning Center,Provider,Early Start CT funded child care,Child Care Center,West Hartford,06110,"1106 New Britain Ave, West Hartford, CT, 06110",Infant/Toddler; Preschool,Jen Chung,(860) 233-7906,,DCCC.13096; Registry 2405,24,40,0,64,West Hartford LGP,Amy Yarbrough | earlystartwh@gmail.com | TBD,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Gamila Elbashir Family Child Care Home,Provider,Early Start CT funded child care,Family Home,West Haven,06516,"560 1st St, West Haven, CT, 06516",Infant/Toddler; School age,Gamila G Elbashir,(203) 909-4966,,DCFH.56065; Registry 6270,6,0,3,9,West Haven Early Childhood Council,Kathi Malone | whcdcmalone@yahoo.com | 203-931-9991,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Kid's Club Learning and Day Care,Provider,Early Start CT funded child care,Child Care Center,West Haven,06516,"270 Center St, West Haven, CT, 06516",Infant/Toddler; Preschool,Elizabeth Heon,(203) 937-0899,,DCCC.15120; Registry 1129,2,30,0,32,West Haven Early Childhood Council,Kathi Malone | whcdcmalone@yahoo.com | 203-931-9991,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Kiddie Tech University,Provider,Early Start CT funded child care,Child Care Center,West Haven,06516,"1120 Boston Post Rd, West Haven, CT, 06516",Preschool; School age,Shakeera Nelson,(203) 508-5293,,DCCC.70202; Registry 7208,0,37,1,38,West Haven Early Childhood Council,Kathi Malone | whcdcmalone@yahoo.com | 203-931-9991,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Kimberly Tucker Family Child Care Home (It Takes a Village) (FCCH),Provider,Early Start CT funded child care,Family Home,West Haven,06516,"334 Second Ave, West Haven, CT, 06516",Infant/Toddler; Preschool; School age,Georgia Goldburn,(860) 913-4906,,DCFH.57421; Registry 9435,4,3,2,9,West Haven Early Childhood Council,Kathi Malone | whcdcmalone@yahoo.com | 203-931-9991,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Mary Baez Family Child Care Home,Provider,Early Start CT funded child care,Family Home,West Haven,06516,"660 Sawmill Road, West Haven, CT, 06516",Infant/Toddler; Preschool,Mary D. Baez,(203) 676-5352,,DCFH.56516; Registry 7395,2,1,0,3,West Haven Early Childhood Council,Kathi Malone | whcdcmalone@yahoo.com | 203-931-9991,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
